FIPS,POP_ESTIMATE_2023
19049,"111,092"
19051,"9,169"
19053,"7,665"
19055,"17,600"
19057,"38,253"
19059,"18,056"
19061,"98,887"
19063,"9,229"
19065,"19,210"
19067,"15,326"
19069,"9,875"
19071,"6,458"
19073,"8,584"
19075,"12,384"
19077,"10,722"
19079,"14,729"
19081,"10,615"
19083,"16,463"
19085,"14,670"
19087,"19,547"
19089,"9,376"
19091,"9,500"
19093,"6,833"
19095,"16,381"
19097,"19,342"
19099,"37,919"
19101,"15,440"
19103,"157,528"
19105,"20,900"
19107,"9,914"
19109,"14,396"
19111,"32,565"
19113,"228,972"
19115,"10,513"
19117,"8,747"
19119,"12,324"
19121,"16,971"
19123,"21,874"
19125,"33,770"
19127,"40,014"
19129,"14,633"
19131,"10,518"
19133,"8,493"
19135,"7,504"
19137,"10,139"
19139,"42,218"
19141,"14,012"
19143,"5,978"
19145,"15,014"
19147,"8,810"
19149,"25,722"
19151,"6,976"
19153,"505,255"
19155,"93,179"
19157,"18,453"
19159,"4,642"
19161,"9,686"
19163,"174,270"
19165,"11,806"
19167,"36,246"
19169,"98,566"
19171,"16,833"
19173,"5,924"
19175,"11,906"
19177,"7,266"
19179,"35,166"
19181,"55,205"
19183,"22,560"
19185,"6,557"
19187,"36,485"
19189,"10,571"
19191,"19,815"
19193,"105,951"
19195,"7,297"
19197,"12,656"
20000,"2,940,546"
20001,"12,412"
20003,"7,838"
20005,"16,016"
20007,"4,071"
20009,"24,899"
20011,"14,408"
20013,"9,250"
20015,"68,632"
20017,"2,579"
20019,"3,347"
20021,"19,054"
20023,"2,636"
20025,"1,847"
20027,"8,007"
20029,"8,854"
20031,"8,251"
20033,"1,655"
20035,"34,157"
20037,"38,764"
20039,"2,712"
20041,"18,445"
20043,"7,493"
20045,"120,553"
20047,"2,733"
20049,"2,467"
20051,"28,810"
20053,"6,357"
20055,"37,466"
20057,"33,980"
20059,"26,125"
20061,"35,047"
20063,"2,735"
20065,"2,376"
20067,"7,147"
20069,"5,743"
20071,"1,181"
20073,"5,870"
20075,"2,437"
20077,"5,435"
20079,"33,504"
20081,"3,630"
20083,"1,655"
20085,"13,368"
20087,"18,327"
20089,"2,847"
20091,"622,237"
20093,"3,823"
20095,"7,066"
20097,"2,374"
20099,"19,728"
20101,"1,529"
20103,"83,518"
20105,"2,920"
20107,"9,860"
20109,"2,665"
20111,"32,172"
20113,"30,091"
20115,"11,690"
20117,"9,933"
20119,"3,911"
20121,"35,320"
20123,"5,719"
20125,"30,568"
20127,"5,334"
20129,"2,580"
20131,"10,114"
20133,"15,420"
20135,"2,618"
20137,"5,330"
20139,"15,824"
20141,"3,427"
20143,"5,818"
20145,"6,126"
20147,"4,761"
20149,"26,382"
20151,"9,082"
20153,"2,463"
20155,"61,497"
20157,"4,627"
20159,"9,260"
20161,"71,402"
20163,"4,778"
20165,"2,830"
20167,"6,723"
20169,"53,098"
20171,"4,922"
20173,"528,469"
20175,"21,067"
20177,"177,746"
20179,"2,423"
20181,"5,844"
20183,"3,590"
20185,"3,909"
20187,"1,901"
20189,"5,077"
20191,"22,334"
20193,"7,865"
20195,"2,731"
20197,"7,057"
20199,"1,509"
20201,"5,504"
20203,"2,082"
20205,"8,382"
20207,"3,115"
20209,"165,281"
21000,"4,526,154"
21001,"19,264"
21003,"21,788"
21005,"24,613"
21007,"7,582"
21009,"45,008"
21011,"12,975"
21013,"23,317"
21015,"140,496"
21017,"20,134"
21019,"47,826"
21021,"30,988"
21023,"8,426"
21025,"12,953"
21027,"21,124"
21029,"84,863"
21031,"12,375"
21033,"12,551"
21035,"38,280"
21037,"93,702"
21039,"4,704"
21041,"10,987"
21043,"26,366"
21045,"15,918"
21047,"72,032"
21049,"37,304"
21051,"19,648"
21053,"9,148"
21055,"8,974"
21057,"6,000"
21059,"103,458"
21061,"12,448"
21063,"7,245"
21065,"13,936"
